 ,X,Y
1,0.000,1.608
2,0.471,2.608
3,0.196,1.392
4,3.033,2.988
5,0.379,1.209
6,3.674,2.883
7,0.497,0.922
8,4.328,1.092
9,0.510,0.595
10,4.524,1.314
11,0.641,0.333
12,4.981,1.353
13,0.601,0.124
14,5.805,-1.079
15,0.562,-0.216
16,5.243,-2.138
17,0.445,-0.464
18,4.602,-2.595
19,0.275,-0.608
20,4.184,-3.249
21,0.013,-0.791
22,3.151,-3.510
23,-0.222,-0.752
24,1.098,-3.432
25,-0.445,-0.634
26,-3.700,-3.497
27,-0.588,-0.503
28,-4.419,-2.164
29,-0.628,-0.255
30,-5.007,-1.353
31,-0.693,-0.007
32,-5.714,-0.438
33,-0.784,0.294
34,-5.766,0.320
35,-0.706,0.530
36,-5.439,2.661
37,-0.575,0.699
38,-4.890,2.778
39,-0.366,0.909
40,-3.543,3.484
41,-0.209,1.131
42,-3.099,3.589
43,-0.078,1.301
44,-2.536,2.935
