 ,X,Y
1,0.222,1.182
2,1.274,4.931
3,0.388,0.905
4,3.195,4.174
5,0.499,0.720
6,4.839,2.659
7,0.517,0.443
8,5.208,2.752
9,0.573,0.185
10,5.873,0.018
11,0.591,-0.074
12,5.467,-1.662
13,0.536,-0.259
14,5.226,-1.200
15,0.499,-0.443
16,4.451,-2.530
17,0.332,-0.646
18,3.398,-3.454
19,0.092,-0.739
20,-0.480,-4.635
21,-0.111,-0.739
22,-2.715,-3.915
23,-0.351,-0.646
24,-4.081,-2.142
25,-0.480,-0.425
26,-4.672,-2.364
27,-0.554,-0.203
28,-5.485,-0.942
29,-0.573,-0.018
30,-5.817,-0.018
31,-0.609,0.203
32,-5.984,0.739
33,-0.628,0.462
34,-6.224,0.979
35,-0.517,0.702
36,-5.503,1.182
37,-0.480,0.960
38,-4.229,2.826
39,-0.332,1.237
40,-2.973,3.915
41,-0.166,1.311
42,-1.422,4.728
43,0.037,1.293
44,-1.237,4.654
