 ,X,Y
1,0.542,6.114
2,3.044,23.061
3,0.997,3.953
4,17.489,16.805
5,1.338,2.588
6,20.901,12.711
7,1.679,1.565
8,26.815,9.867
9,2.248,0.200
10,29.203,-0.141
11,2.361,-1.051
12,25.905,-5.146
13,2.361,-2.302
14,25.791,-4.463
15,2.020,-3.326
16,19.763,-15.269
17,0.883,-4.805
18,9.413,-21.524
19,-0.254,-5.373
20,-8.444,-17.884
21,-1.847,-4.236
22,-18.680,-15.610
23,-1.733,-2.302
24,-20.159,-12.653
25,-2.415,-1.051
26,-27.324,-8.103
27,-2.643,0.313
28,-28.006,-4.463
29,-2.188,1.678
30,-26.755,-0.596
31,-1.961,2.702
32,-17.998,12.028
33,-0.937,4.294
34,-11.742,17.033
35,-0.027,5.090
36,-7.989,22.037
37,1.224,5.432
38,-4.804,19.876
