 ,X,Y
1,0.098,0.870
2,0.941,3.401
3,0.184,0.629
4,1.699,3.607
5,0.287,0.491
6,3.042,2.626
7,0.356,0.284
8,5.074,1.283
9,0.356,0.026
10,5.057,0.577
11,0.408,-0.164
12,4.936,-0.336
13,0.408,-0.439
14,4.161,-1.868
15,0.339,-0.646
16,2.922,-2.850
17,0.149,-0.938
18,2.371,-2.660
19,-0.212,-0.852
20,-2.348,-3.091
21,-0.230,-0.646
22,-3.019,-2.884
23,-0.333,-0.405
24,-4.448,-1.868
25,-0.367,-0.181
26,-4.965,-0.198
27,-0.178,0.095
28,-4.844,1.765
29,-0.178,0.319
30,-4.207,2.316
31,-0.230,0.508
32,-2.106,3.676
33,-0.109,0.749
34,-3.019,2.867
35,-0.040,0.973
36,-1.142,3.298
37,0.115,1.076
38,-0.385,2.936
