 ,X,Y
1,0.228,1.611
2,2.655,5.240
3,0.372,1.347
4,3.712,4.615
5,0.444,1.107
6,5.226,3.342
7,0.540,0.794
8,5.442,2.236
9,0.564,0.578
10,6.884,0.915
11,0.636,0.314
12,7.245,-0.095
13,0.588,0.001
14,7.605,-1.945
15,0.612,-0.359
16,6.884,-2.714
17,0.516,-0.647
18,5.442,-3.315
19,0.348,-0.912
20,4.529,-3.651
21,0.131,-1.008
22,1.982,-4.853
23,-0.085,-1.008
24,1.021,-4.372
25,-0.421,-0.816
26,-3.353,-3.363
27,-0.565,-0.672
28,-4.819,-2.378
29,-0.614,-0.455
30,-6.477,-1.392
31,-0.614,-0.215
32,-7.534,-0.551
33,-0.541,0.242
34,-7.847,0.025
35,-0.565,0.554
36,-7.390,1.491
37,-0.517,0.794
38,-6.141,2.693
39,-0.301,1.203
40,-5.155,3.270
41,-0.157,1.419
42,-4.675,3.606
43,-0.109,1.659
44,-1.599,5.264
45,0.035,1.732
46,-0.806,4.663
