 ,X,Y
1,0.152,1.088
2,1.229,4.410
3,0.226,0.846
4,2.101,4.039
5,0.301,0.679
6,2.974,2.684
7,0.486,0.568
8,4.514,1.570
9,0.431,0.364
10,5.331,0.846
11,0.431,-0.026
12,5.479,-0.082
13,0.468,-0.267
14,5.294,-1.177
15,0.375,-0.564
16,4.124,-1.270
17,0.301,-0.731
18,2.435,-3.924
19,0.189,-0.899
20,1.600,-4.184
21,0.022,-1.010
22,0.115,-4.295
23,-0.145,-1.010
24,-0.665,-4.147
25,-0.312,-0.917
26,-2.465,-3.423
27,-0.386,-0.639
28,-3.449,-3.312
29,-0.516,-0.490
30,-5.082,-2.662
31,-0.590,-0.193
32,-5.936,-1.363
33,-0.553,0.067
34,-6.400,1.422
35,-0.498,0.364
36,-5.231,2.387
37,-0.460,0.586
38,-4.693,3.278
39,-0.368,0.865
40,-3.876,3.464
41,-0.312,1.106
42,-3.208,3.464
43,-0.201,1.292
44,-1.481,4.522
45,0.004,1.329
46,-0.275,4.299
