 ,X,Y
1,0.046,0.831
2,0.197,4.348
3,0.137,0.756
4,1.339,3.762
5,0.257,0.741
6,1.895,3.597
7,0.362,0.621
8,2.256,3.191
9,0.452,0.485
10,3.007,1.507
11,0.587,0.275
12,3.458,1.718
13,0.572,0.125
14,3.984,0.816
15,0.587,-0.071
16,4.090,-0.341
17,0.617,-0.326
18,4.000,-1.514
19,0.482,-0.567
20,3.068,-2.972
21,0.242,-0.732
22,2.000,-3.272
23,-0.104,-0.747
24,-0.750,-3.468
25,-0.329,-0.642
26,-2.674,-2.205
27,-0.510,-0.462
28,-3.486,-1.559
29,-0.660,-0.296
30,-3.726,-1.348
31,-0.675,-0.041
32,-3.907,-0.311
33,-0.585,0.170
34,-3.772,1.102
35,-0.540,0.365
36,-3.471,1.988
37,-0.435,0.621
38,-2.855,2.605
39,-0.269,0.846
40,-1.427,3.582
41,-0.179,1.011
