 ,X,Y
1,0.028,0.938
2,1.720,3.023
3,0.171,0.867
4,3.284,2.246
5,0.313,0.725
6,3.767,2.587
7,0.469,0.455
8,4.450,1.891
9,0.540,0.227
10,5.146,0.370
11,0.526,-0.057
12,5.274,-0.114
13,0.483,-0.313
14,4.521,-2.019
15,0.370,-0.512
16,3.838,-2.545
17,0.185,-0.682
18,0.583,-3.824
19,0.057,-0.711
20,-2.076,-3.099
21,-0.142,-0.626
22,-3.284,-2.275
23,-0.284,-0.469
24,-4.236,-2.033
25,-0.426,-0.327
26,-4.677,-2.047
27,-0.498,-0.043
28,-5.601,-0.043
29,-0.483,0.242
30,-5.047,1.223
31,-0.384,0.412
32,-4.421,1.663
33,-0.270,0.725
34,-3.241,3.128
35,-0.142,0.910
36,-0.611,3.938
