 ,X,Y
1,0.000,0.867
2,1.581,4.240
3,0.267,0.806
4,1.651,4.205
5,0.390,0.718
6,4.244,2.348
7,0.495,0.526
8,4.542,2.400
9,0.670,0.263
10,5.260,1.559
11,0.583,-0.035
12,6.066,-0.420
13,0.583,-0.298
14,5.453,-2.172
15,0.495,-0.561
16,3.491,-4.030
17,0.390,-0.788
18,1.634,-4.240
19,-0.013,-0.911
20,-2.641,-4.030
21,-0.311,-0.753
22,-3.990,-2.488
23,-0.416,-0.508
24,-4.708,-2.821
25,-0.556,-0.333
26,-5.935,-0.158
27,-0.521,-0.053
28,-6.057,0.964
29,-0.469,0.245
30,-5.181,2.330
31,-0.399,0.456
32,-4.008,2.751
33,-0.346,0.683
34,-3.815,3.031
35,-0.241,0.823
36,-2.221,4.082
