 ,X,Y
1,0.111,1.191
2,0.277,4.280
3,0.295,0.952
4,2.796,3.176
5,0.461,0.676
6,3.531,2.092
7,0.516,0.363
8,4.083,1.522
9,0.534,0.069
10,4.873,0.235
11,0.571,-0.170
12,4.634,-0.611
13,0.645,-0.446
14,3.347,-2.321
15,0.479,-0.666
16,2.391,-2.946
17,0.277,-0.850
18,0.700,-3.535
19,0.148,-0.869
20,0.130,-3.461
21,-0.128,-0.942
22,-1.690,-2.615
23,-0.422,-0.795
24,-2.628,-2.817
25,-0.642,-0.574
26,-3.382,-2.156
27,-0.642,-0.317
28,-3.915,-1.917
29,-0.606,-0.060
30,-4.669,-0.758
31,-0.569,0.198
32,-4.595,1.209
33,-0.514,0.455
34,-2.738,2.515
35,-0.385,0.805
36,-2.463,2.570
37,-0.109,1.025
38,-1.470,3.985
