 ,X,Y
1,0.375,1.041
2,4.461,5.787
3,0.493,0.735
4,4.517,5.870
5,0.520,0.569
6,7.431,3.539
7,0.520,0.319
8,7.736,3.095
9,0.576,0.125
10,7.542,1.957
11,0.604,-0.069
12,7.764,1.152
13,0.576,-0.291
14,6.682,-0.208
15,0.742,-0.458
16,6.598,-1.124
17,0.687,-0.652
18,6.321,-1.485
19,0.437,-0.763
20,4.794,-2.234
21,0.215,-0.874
22,2.213,-4.316
23,-0.090,-0.846
24,-2.422,-3.927
25,-0.257,-0.763
26,-4.170,-3.844
27,-0.340,-0.624
28,-5.197,-3.594
29,-0.340,-0.486
30,-5.585,-3.872
31,-0.451,-0.264
32,-7.029,-2.845
33,-0.451,-0.097
34,-7.334,-2.373
35,-0.423,0.153
36,-8.222,-0.846
37,-0.368,0.347
38,-8.333,0.985
39,-0.312,0.486
40,-7.084,1.596
41,-0.340,0.680
42,-7.084,2.373
43,-0.257,1.013
44,-2.755,5.731
45,0.076,1.207
46,2.075,5.925
47,0.215,1.346
48,1.214,6.425
49,0.354,1.402
50,2.324,6.120
