 ,X,Y
1,0.047,1.123
2,0.702,6.385
3,0.164,1.146
4,3.415,6.198
5,0.351,1.076
6,4.818,5.730
7,0.491,0.842
8,4.210,6.526
9,0.491,0.632
10,7.274,3.719
11,0.304,0.257
12,8.233,3.017
13,0.421,0.094
14,8.256,1.778
15,0.444,-0.023
16,7.391,-0.281
17,0.468,-0.327
18,6.619,-0.842
19,0.491,-0.538
20,7.648,-1.380
21,0.398,-0.632
22,5.824,-0.912
23,0.304,-0.842
24,5.520,-1.801
25,0.023,-0.819
26,0.351,-5.239
27,-0.187,-0.842
28,-0.094,-5.637
29,-0.351,-0.748
30,-0.281,-5.426
31,-0.515,-0.678
32,-1.754,-5.403
33,-0.702,-0.585
34,-2.409,-4.421
35,-0.819,-0.374
36,-5.333,-3.766
37,-0.865,-0.234
38,-6.970,-2.386
39,-0.819,0.023
40,-7.414,-2.152
41,-0.725,0.234
42,-8.069,0.398
43,-0.608,0.444
44,-5.777,5.333
45,-0.491,0.655
46,-2.690,7.227
47,-0.444,0.748
48,-3.134,6.479
49,-0.398,0.889
50,-1.450,7.087
51,-0.257,1.099
52,0.070,7.110
