 ,X,Y
1,0.222,1.201
2,2.752,8.841
3,0.349,1.068
4,5.570,6.942
5,0.586,0.860
6,6.400,6.556
7,0.675,0.653
8,9.070,2.492
9,0.586,0.386
10,8.744,2.581
11,0.675,0.148
12,9.159,-0.237
13,0.705,-0.089
14,8.981,0.564
15,0.734,-0.356
16,7.676,-2.462
17,0.705,-0.623
18,7.172,-2.462
19,0.527,-0.653
20,5.540,-3.115
21,0.438,-0.949
22,4.116,-3.916
23,0.171,-0.979
24,2.603,-3.916
25,-0.037,-1.009
26,2.841,-4.806
27,-0.363,-0.979
28,2.425,-5.014
29,-0.601,-0.682
30,-5.169,-5.755
31,-0.690,-0.415
32,-5.881,-6.022
33,-0.690,-0.237
34,-8.878,-1.661
35,-0.690,0.000
36,-9.145,0.771
37,-0.630,0.326
38,-10.124,1.127
39,-0.601,0.593
40,-9.560,3.234
41,-0.452,0.742
42,-7.780,5.132
43,-0.334,1.009
44,-7.632,4.747
45,-0.215,1.187
46,-5.347,7.595
47,0.082,1.394
48,-1.194,8.040
