 ,X,Y
1,0.000,0.908
2,6.153,4.526
3,0.219,0.621
4,6.304,5.434
5,0.371,0.409
6,7.000,3.920
7,0.492,0.136
8,8.090,3.950
9,0.492,-0.045
10,8.423,0.076
11,0.583,-0.378
12,7.697,-1.226
13,0.552,-0.560
14,7.576,-2.225
15,0.552,-0.711
16,6.304,-1.680
17,0.492,-0.832
18,6.032,-2.800
19,0.310,-0.893
20,4.760,-3.981
21,0.159,-1.014
22,2.399,-4.859
23,-0.235,-1.044
24,0.552,-4.405
25,-0.507,-1.196
26,-3.504,-4.011
27,-0.779,-0.923
28,-6.198,-3.527
29,-0.810,-0.681
30,-7.530,-1.771
31,-0.810,-0.378
32,-8.014,-1.044
33,-0.840,-0.136
34,-8.257,1.105
35,-0.779,0.166
36,-7.954,1.256
37,-0.628,0.409
38,-7.409,2.709
39,-0.537,0.621
40,-6.894,2.800
41,-0.507,0.772
42,-2.414,5.737
43,-0.295,0.984
44,-1.203,8.037
45,-0.023,1.075
46,0.250,6.191
