 ,X,Y
1,0.000,1.062
2,0.935,5.247
3,0.212,1.105
4,2.294,3.548
5,0.340,0.956
6,4.079,4.206
7,0.531,0.701
8,5.332,2.570
9,0.616,0.489
10,5.948,3.633
11,0.659,0.212
12,6.777,2.146
13,0.765,-0.021
14,6.692,1.827
15,0.659,-0.212
16,6.245,0.680
17,0.659,-0.382
18,6.054,-0.234
19,0.595,-0.574
20,5.714,-1.466
21,0.404,-0.722
22,5.289,-0.446
23,0.191,-0.722
24,0.276,-4.482
25,-0.042,-0.744
26,-1.721,-2.698
27,-0.297,-0.765
28,-2.698,-3.250
29,-0.425,-0.659
30,-3.824,-3.250
31,-0.616,-0.552
32,-5.481,-2.337
33,-0.616,-0.319
34,-6.670,-0.998
35,-0.701,-0.106
36,-6.904,-1.657
37,-0.744,0.106
38,-6.840,0.382
39,-0.595,0.382
40,-5.587,1.551
41,-0.531,0.574
42,-6.437,1.954
43,-0.425,0.701
44,-4.950,2.464
45,-0.297,0.977
46,-3.038,4.843
47,-0.127,1.105
48,-0.149,4.695
