 ,X,Y
1,-0.261,1.043
2,0.326,7.072
3,0.094,0.986
4,2.036,6.348
5,0.210,0.754
6,5.051,5.710
7,0.413,0.638
8,5.804,4.957
9,0.529,0.522
10,7.978,3.217
11,0.500,0.174
12,8.442,3.130
13,0.529,0.000
14,8.819,0.609
15,0.674,-0.232
16,8.123,0.174
17,0.645,-0.464
18,6.906,-0.783
19,0.703,-0.812
20,6.848,-1.913
21,0.616,-0.928
22,6.239,-1.971
23,0.268,-1.072
24,-4.949,-2.841
25,-0.109,-0.957
26,-3.355,-5.797
27,-0.254,-0.812
28,-4.833,-5.449
29,-0.399,-0.754
30,-6.601,-4.290
31,-0.486,-0.522
32,-7.790,-3.014
33,-0.486,-0.290
34,-8.775,-0.696
35,-0.572,-0.029
36,-8.080,-0.638
37,-0.457,0.261
38,-8.254,3.159
39,-0.457,0.464
40,-6.370,2.464
41,-0.399,0.638
42,-5.326,4.841
43,-0.341,0.783
44,-4.862,5.217
