 ,X,Y
1,0.136,1.135
2,3.368,7.462
3,0.371,0.984
4,3.731,7.371
5,0.643,0.893
6,4.367,7.674
7,0.492,0.499
8,8.696,2.951
9,0.522,0.257
10,9.150,2.619
11,0.613,-0.015
12,9.089,1.135
13,0.825,-0.227
14,8.635,-0.409
15,0.734,-0.530
16,7.697,-1.165
17,0.734,-0.711
18,7.212,-2.255
19,0.462,-0.832
20,6.365,-2.346
21,0.129,-0.954
22,2.762,-5.585
23,-0.023,-0.984
24,1.340,-5.101
25,-0.235,-0.954
26,-2.444,-5.585
27,-0.507,-0.923
28,-3.383,-4.768
29,-0.568,-0.802
30,-4.624,-5.282
31,-0.719,-0.681
32,-6.471,-4.556
33,-0.779,-0.378
34,-8.196,-2.376
35,-0.840,-0.106
36,-8.287,-1.468
37,-0.719,0.076
38,-9.286,-0.045
39,-0.658,0.439
40,-9.074,1.044
41,-0.537,0.590
42,-7.409,2.800
43,-0.537,0.742
44,-5.774,3.860
45,-0.416,0.893
46,-3.928,6.947
47,-0.144,1.226
48,-1.052,7.704
