 ,X,Y
1,-1.011,2.830
2,2.280,6.648
3,-0.842,2.516
4,4.414,4.964
5,-0.865,2.156
6,5.447,4.380
7,-0.842,1.864
8,6.278,1.190
9,-0.775,1.685
10,5.784,0.674
11,-0.955,1.303
12,5.761,-0.494
13,-1.112,0.966
14,4.346,-1.213
15,-1.157,0.831
16,2.841,-1.932
17,-1.426,0.741
18,2.145,-1.999
19,-1.606,0.741
20,-0.438,-2.785
21,-1.853,0.741
22,-2.078,-2.493
23,-1.920,0.966
24,-6.053,-1.617
25,-1.965,1.190
26,-7.917,0.247
27,-2.190,1.460
28,-9.220,0.764
29,-2.078,1.729
30,-9.198,1.482
31,-2.123,1.999
32,-9.243,2.291
33,-2.302,2.291
34,-8.097,4.447
35,-2.145,2.561
36,-6.794,5.458
37,-1.920,2.830
38,-5.514,6.266
39,-1.673,2.875
40,-1.988,6.581
