 ,X,Y
1,2.885,3.341
2,2.566,6.416
3,3.061,3.313
4,4.298,6.283
5,3.194,3.084
6,6.888,4.855
7,3.270,2.818
8,7.592,4.055
9,3.251,2.570
10,8.163,3.789
11,3.232,2.361
12,8.087,1.523
13,3.365,1.999
14,6.945,-0.190
15,3.156,1.733
16,5.688,-0.647
17,2.984,1.695
18,3.879,-1.219
19,2.794,1.637
20,2.927,-1.352
21,2.547,1.656
22,1.537,-1.314
23,2.470,1.885
24,-0.290,-0.781
25,2.432,2.037
26,-1.566,0.362
27,2.432,2.323
28,-2.404,2.209
29,2.489,2.532
30,-2.461,3.370
31,2.489,2.761
32,-1.166,5.179
33,2.528,3.046
34,-0.500,5.179
35,2.699,3.427
36,0.719,6.740
