 ,X,Y
1,0.035,0.843
2,2.565,4.410
3,0.176,1.054
4,4.199,3.285
5,0.211,0.931
6,4.076,3.777
7,0.228,0.738
8,5.060,2.319
9,0.264,0.597
10,5.007,1.388
11,0.334,0.404
12,5.587,0.685
13,0.264,0.211
14,5.341,0.439
15,0.316,0.070
16,5.095,-1.001
17,0.264,-0.158
18,4.181,-2.758
19,0.281,-0.281
20,3.619,-2.495
21,0.141,-0.404
22,2.951,-3.180
23,0.105,-0.580
24,0.843,-4.620
25,-0.105,-0.650
26,0.439,-4.726
27,-0.228,-0.650
28,-1.423,-3.689
29,-0.351,-0.650
30,-1.335,-3.760
31,-0.439,-0.597
32,-2.793,-2.987
33,-0.492,-0.527
34,-3.180,-2.530
35,-0.545,-0.474
36,-3.531,-1.669
37,-0.597,-0.264
38,-4.287,0.070
39,-0.562,-0.070
40,-4.638,0.720
41,-0.264,0.176
42,-4.726,2.284
43,-0.141,0.422
44,-3.145,3.443
45,-0.018,0.562
46,-3.443,3.461
47,0.018,0.720
48,-2.688,3.918
49,-0.035,0.949
50,-0.632,4.796
