 ,X,Y
1,0.180,1.486
2,2.049,6.508
3,0.405,1.148
4,3.828,6.576
5,0.585,1.013
6,6.215,3.310
7,0.563,0.721
8,6.621,2.319
9,0.676,0.473
10,7.454,0.180
11,0.766,0.135
12,7.364,-0.248
13,0.743,-0.113
14,6.868,-0.698
15,0.653,-0.383
16,6.598,-1.148
17,0.721,-0.721
18,5.765,-1.756
19,0.676,-0.901
20,5.089,-2.387
21,0.563,-1.013
22,4.121,-3.355
23,0.360,-1.148
24,3.963,-2.972
25,0.113,-1.193
26,1.959,-4.324
27,-0.135,-1.103
28,0.698,-4.909
29,-0.360,-1.013
30,-1.441,-4.999
31,-0.450,-0.833
32,-2.410,-4.098
33,-0.540,-0.608
34,-3.963,-2.612
35,-0.585,-0.405
36,-4.549,-1.464
37,-0.563,-0.225
38,-5.607,-0.113
39,-0.540,-0.023
40,-6.823,1.239
41,-0.495,0.248
42,-6.598,2.590
43,-0.473,0.653
44,-8.084,1.216
45,-0.428,0.743
46,-5.787,3.671
47,-0.270,1.036
48,-4.729,4.234
49,-0.180,1.306
50,-3.738,4.932
51,-0.090,1.464
52,-0.450,6.440
