 ,X,Y
1,0.037,1.360
2,1.575,5.771
3,0.104,1.091
4,2.996,5.624
5,0.251,0.968
6,6.378,2.733
7,0.178,0.723
8,6.721,2.242
9,0.349,0.478
10,7.383,2.169
11,0.447,0.208
12,7.040,0.944
13,0.594,0.086
14,6.721,0.919
15,0.545,-0.159
16,6.255,-1.238
17,0.521,-0.355
18,5.974,-1.084
19,0.460,-0.460
20,5.165,-2.224
21,0.460,-0.570
22,4.430,-3.125
23,0.368,-0.956
24,3.694,-3.713
25,0.129,-0.956
26,-3.694,-2.408
27,-0.092,-0.956
28,-3.419,-2.224
29,-0.294,-0.937
30,-4.283,-2.702
31,-0.460,-0.864
32,-4.687,-2.922
33,-0.570,-0.643
34,-5.753,-1.379
35,-0.680,-0.423
36,-5.900,-1.011
37,-0.404,-0.092
38,-7.493,1.066
39,-0.239,0.110
40,-6.905,1.850
41,-0.263,0.355
42,-6.635,2.684
43,-0.092,0.576
44,-5.483,4.326
45,-0.043,0.772
46,-4.528,4.424
47,-0.043,0.919
48,-3.057,5.943
49,0.055,1.066
50,-2.200,5.502
