 ,X,Y
1,0.106,1.360
2,1.151,5.695
3,0.239,1.271
4,2.929,5.028
5,0.262,1.071
6,5.753,1.160
7,0.573,0.693
8,5.909,0.404
9,0.729,0.271
10,6.242,-1.886
11,0.751,-0.152
12,4.930,-2.019
13,0.684,-0.574
14,3.419,-3.397
15,0.395,-0.863
16,2.640,-3.242
17,0.017,-0.952
18,-0.694,-3.931
19,-0.450,-0.930
20,-2.695,-3.309
21,-0.650,-0.685
22,-3.718,-2.864
23,-0.917,-0.463
24,-4.829,-2.219
25,-0.961,-0.085
26,-5.985,-1.219
27,-0.761,0.471
28,-6.586,0.960
29,-0.472,0.827
30,-5.252,3.628
31,-0.205,1.116
32,-4.340,4.050
33,-0.072,1.382
34,-1.361,5.518
