 ,X,Y
1,0.107,1.453
2,0.635,4.732
3,0.186,0.924
4,2.539,4.864
5,0.397,0.713
6,4.020,3.859
7,0.662,0.422
8,4.893,2.167
9,0.768,-0.054
10,5.131,-0.372
11,0.715,-0.477
12,3.729,-2.302
13,0.530,-0.821
14,2.301,-3.227
15,0.292,-0.980
16,1.032,-3.597
17,-0.131,-0.927
18,-1.110,-3.465
19,-0.396,-0.900
20,-1.321,-3.254
21,-0.634,-0.742
22,-2.881,-2.487
23,-0.792,-0.477
24,-3.437,-2.064
25,-0.845,-0.134
26,-4.997,-0.504
27,-0.660,0.342
28,-5.816,1.876
29,-0.422,0.818
30,-5.261,2.907
31,-0.184,1.083
32,-3.252,4.282
33,-0.078,1.241
34,-0.660,4.890
