 ,X,Y
1,0.128,0.905
2,0.672,4.116
3,0.254,0.796
4,3.844,1.676
5,0.339,0.610
6,4.724,1.321
7,0.474,0.356
8,5.418,0.948
9,0.559,0.085
10,5.977,-0.356
11,0.389,-0.135
12,5.723,-1.473
13,0.339,-0.322
14,4.148,-2.506
15,0.220,-0.491
16,3.623,-2.912
17,0.152,-0.610
18,2.811,-2.963
19,-0.017,-0.711
20,1.490,-3.861
21,-0.102,-0.728
22,0.288,-3.945
23,-0.203,-0.677
24,-2.252,-2.963
25,-0.322,-0.559
26,-3.725,-1.524
27,-0.406,-0.389
28,-4.843,-1.016
29,-0.457,-0.186
30,-5.367,-0.542
31,-0.423,0.034
32,-5.469,-0.169
33,-0.440,0.220
34,-5.977,1.575
35,-0.271,0.542
36,-4.504,2.946
37,-0.186,0.796
38,-3.099,3.776
39,-0.119,0.999
40,-2.845,3.302
