 ,X,Y
1,0.141,1.138
2,0.867,5.148
3,0.226,0.802
4,5.664,1.775
5,0.511,0.469
6,6.662,0.540
7,0.511,0.089
8,7.113,-0.315
9,0.392,-0.172
10,6.115,-2.025
11,0.392,-0.410
12,5.807,-2.048
13,0.297,-0.718
14,5.450,-2.215
15,0.178,-0.742
16,1.342,-5.302
17,0.012,-0.790
18,0.891,-4.518
19,-0.107,-0.813
20,-0.178,-4.352
21,-0.297,-0.790
22,-0.321,-4.613
23,-0.368,-0.671
24,-4.619,-2.215
25,-0.463,-0.505
26,-5.260,-1.265
27,-0.582,-0.291
28,-6.329,-1.645
29,-0.558,-0.006
30,-6.970,-1.265
31,-0.511,0.279
32,-6.733,1.039
33,-0.487,0.683
34,-6.234,1.728
35,-0.273,0.920
36,-5.450,2.250
37,-0.107,1.134
38,-3.242,3.366
