 ,X,Y
1,0.051,0.880
2,-0.272,3.744
3,0.288,0.773
4,1.644,3.658
5,0.417,0.493
6,2.721,3.292
7,0.546,0.364
8,3.819,3.055
9,0.525,0.062
10,5.434,0.514
11,0.546,-0.153
12,5.606,0.148
13,0.589,-0.368
14,5.283,-1.122
15,0.460,-0.562
16,4.185,-2.220
17,0.417,-0.691
18,2.505,-3.662
19,0.202,-0.756
20,1.429,-3.921
21,0.051,-0.777
22,-0.035,-3.856
23,-0.014,-0.777
24,-0.767,-3.813
25,-0.143,-0.734
26,-2.963,-2.564
27,-0.250,-0.605
28,-3.824,-1.897
29,-0.380,-0.519
30,-4.557,-1.811
31,-0.423,-0.239
32,-5.159,-0.411
33,-0.509,0.019
34,-5.590,0.579
35,-0.487,0.256
36,-5.052,0.773
37,-0.229,0.558
38,-3.222,2.538
39,-0.100,0.816
40,-1.930,3.356
