 ,X,Y
1,-0.214,1.894
2,-0.529,8.719
3,0.241,1.684
4,3.881,8.334
5,0.486,1.159
6,7.766,5.919
7,0.976,0.599
8,10.426,4.309
9,1.256,0.179
10,10.706,0.564
11,1.116,-0.382
12,10.986,-0.837
13,1.116,-1.117
14,9.586,-2.482
15,0.696,-1.362
16,5.561,-7.242
17,0.101,-1.432
18,4.231,-7.802
19,-0.389,-1.362
20,-7.179,-3.637
21,-0.809,-0.977
22,-7.774,-2.202
23,-1.159,-0.767
24,-10.399,-2.272
25,-1.404,-0.067
26,-11.274,-0.767
27,-1.474,0.459
28,-11.239,1.054
29,-1.124,1.369
30,-7.389,6.409
31,-0.564,1.754
32,-5.464,7.214
