 ,X,Y
1,0.398,1.294
2,1.410,4.411
3,0.663,0.978
4,3.051,3.532
5,0.862,0.580
6,4.179,2.653
7,0.945,0.166
8,4.959,1.260
9,0.879,-0.149
10,4.444,-0.249
11,0.697,-0.547
12,3.814,-1.708
13,0.547,-0.945
14,3.582,-1.741
15,0.265,-1.111
16,2.935,-2.421
17,-0.166,-1.061
18,-1.443,-2.687
19,-0.481,-0.962
20,-0.697,-2.803
21,-0.763,-0.846
22,-3.284,-2.305
23,-0.912,-0.448
24,-4.444,-1.493
25,-0.995,-0.149
26,-5.688,-0.879
27,-0.962,0.315
28,-4.809,2.521
29,-0.796,0.730
30,-2.720,3.798
31,-0.464,1.095
32,-1.012,4.080
33,-0.149,1.244
34,-1.095,4.876
35,0.116,1.294
36,-0.017,4.826
