 ,X,Y
1,-0.121,1.466
2,-0.086,6.159
3,0.227,1.466
4,1.200,6.159
5,0.574,1.188
6,2.799,5.359
7,0.748,0.840
8,5.859,4.038
9,0.818,0.353
10,7.284,2.022
11,0.922,-0.064
12,7.771,-0.655
13,1.026,-0.446
14,6.415,-3.158
15,0.818,-0.794
16,3.877,-4.201
17,0.505,-0.968
18,1.687,-4.722
19,-0.156,-0.863
20,-0.816,-4.966
21,-0.573,-0.863
22,-3.875,-4.340
23,-0.920,-0.481
24,-5.926,-3.540
25,-0.990,-0.168
26,-8.117,-0.724
27,-0.990,0.145
28,-7.908,2.231
29,-0.886,0.805
30,-5.335,4.316
31,-0.712,1.257
32,-4.292,5.846
33,-0.399,1.674
34,-2.763,5.846
