 ,X,Y
1,5.850,4.307
2,6.682,7.286
3,5.998,4.267
4,7.058,5.703
5,6.092,4.200
6,8.319,5.394
7,6.199,4.052
8,8.051,5.448
9,6.266,3.958
10,9.218,5.501
11,6.333,3.824
12,10.265,4.254
13,6.401,3.717
14,10.600,4.079
15,6.427,3.556
16,10.493,3.355
17,6.401,3.368
18,10.171,3.234
19,6.387,3.247
20,9.970,3.006
21,6.347,3.113
22,9.473,2.429
23,6.253,2.965
24,8.158,1.261
25,6.119,2.939
26,7.380,0.886
27,5.958,2.872
28,6.119,0.470
29,5.837,2.925
30,4.763,0.698
31,5.703,2.965
32,3.502,1.127
33,5.542,3.019
34,3.287,1.141
35,5.421,3.073
36,2.241,1.865
37,5.408,3.207
38,1.704,2.254
39,5.287,3.368
40,1.825,2.872
41,5.287,3.502
42,1.785,2.737
43,5.314,3.677
44,1.932,4.240
45,2.657,3.972
46,5.354,3.784
47,2.214,4.468
48,5.408,3.999
49,3.542,5.327
50,5.421,4.093
51,5.488,4.254
52,4.522,5.609
53,5.555,4.388
54,4.294,6.723
55,5.689,4.455
56,5.931,7.353
