 ,X,Y
1,0.014,0.889
2,1.086,3.358
3,0.183,0.832
4,1.524,3.273
5,0.282,0.649
6,2.638,2.469
7,0.282,0.522
8,2.822,1.989
9,0.367,0.381
10,3.442,1.354
11,0.451,0.268
12,4.204,0.480
13,0.494,0.155
14,4.275,0.635
15,0.536,0.000
16,4.317,-0.085
17,0.522,-0.155
18,4.120,-0.381
19,0.480,-0.282
20,3.964,-0.705
21,0.466,-0.409
22,3.541,-1.608
23,0.367,-0.494
24,2.892,-2.017
25,0.268,-0.578
26,2.215,-2.159
27,0.183,-0.677
28,2.314,-2.413
29,0.071,-0.691
30,1.735,-2.624
31,-0.071,-0.734
32,0.395,-3.358
33,-0.226,-0.593
34,-2.300,-2.483
35,-0.324,-0.564
36,-2.949,-2.314
37,-0.451,-0.466
38,-3.668,-1.171
39,-0.522,-0.339
40,-3.922,-0.578
41,-0.578,-0.155
42,-4.134,-0.028
43,-0.564,-0.014
44,-4.613,-0.198
45,-0.564,0.155
46,-4.458,0.480
47,-0.564,0.268
48,-4.134,0.550
49,-0.522,0.395
50,-3.584,2.398
51,-0.466,0.522
52,-2.935,2.582
53,-0.367,0.663
54,-2.906,2.483
55,-0.310,0.762
56,-1.735,3.188
57,-0.183,0.875
58,-0.607,3.668
