 ,X,Y
1,0.178,0.986
2,1.423,3.363
3,0.210,0.857
4,1.908,3.201
5,0.259,0.695
6,2.894,2.280
7,0.323,0.501
8,3.056,1.633
9,0.388,0.372
10,3.590,1.116
11,0.453,0.259
12,4.446,0.275
13,0.453,0.113
14,4.544,0.097
15,0.420,0.000
16,4.333,-0.566
17,0.420,-0.162
18,3.994,-0.841
19,0.437,-0.307
20,3.784,-1.099
21,0.388,-0.453
22,3.266,-2.102
23,0.275,-0.566
24,2.927,-2.361
25,0.162,-0.647
26,1.989,-2.442
27,0.049,-0.711
28,1.924,-2.603
29,-0.097,-0.695
30,1.568,-2.894
31,-0.226,-0.663
32,-0.097,-3.379
33,-0.372,-0.582
34,-2.830,-2.296
35,-0.485,-0.485
36,-3.298,-1.940
37,-0.566,-0.340
38,-4.010,0.485
39,-0.598,-0.162
40,-3.767,-0.647
41,-0.631,0.097
42,-4.414,0.243
43,-0.663,0.226
44,-4.204,0.954
45,-0.679,0.356
46,-4.042,0.970
47,-0.566,0.517
48,-3.201,2.490
49,-0.517,0.663
50,-2.830,2.846
51,-0.420,0.825
52,-2.619,2.813
53,-0.275,0.954
54,-1.504,3.606
55,-0.129,1.051
56,-0.178,3.978
