 ,X,Y
1,0.038,1.667
2,3.403,6.212
3,0.246,1.490
4,3.428,6.969
5,0.322,1.187
6,6.079,5.454
7,0.372,0.859
8,7.620,2.500
9,0.423,0.556
10,8.554,2.449
11,0.675,0.227
12,8.731,1.439
13,0.625,-0.126
14,7.544,-1.894
15,0.473,-0.379
16,6.887,-3.207
17,0.347,-0.455
18,6.281,-4.091
19,0.221,-0.682
20,4.615,-5.530
21,0.044,-0.884
22,3.024,-6.010
23,-0.032,-0.909
24,-1.749,-3.737
25,-0.259,-0.859
26,-2.885,-4.520
27,-0.436,-0.783
28,-2.759,-4.343
29,-0.537,-0.732
30,-5.789,-1.843
31,-0.638,-0.530
32,-7.153,-1.919
33,-0.688,-0.303
34,-8.036,-0.934
35,-0.511,0.000
36,-8.415,-0.379
37,-0.537,0.303
38,-8.794,0.985
39,-0.461,0.631
40,-8.819,2.323
41,-0.385,0.909
42,-7.784,4.975
43,-0.259,1.187
44,-5.107,5.934
45,-0.107,1.414
46,-1.067,7.500
