 ,X,Y
1,0.041,1.736
2,2.543,8.393
3,0.227,1.612
4,5.933,7.098
5,0.420,1.282
6,8.882,2.109
7,0.558,0.841
8,10.371,1.282
9,0.641,0.427
10,10.123,-2.329
11,0.779,-0.041
12,8.772,-3.790
13,0.724,-0.372
14,6.953,-4.203
15,0.586,-0.675
16,5.988,-3.818
17,0.393,-0.868
18,4.555,-4.286
19,0.200,-0.923
20,3.783,-4.369
21,0.034,-1.034
22,1.192,-2.494
23,-0.158,-1.144
24,1.523,-3.046
25,-0.351,-1.089
26,-0.048,-3.156
27,-0.544,-1.034
28,-0.241,-3.680
29,-0.627,-0.813
30,-4.210,-4.176
31,-0.655,-0.620
32,-7.656,-1.530
33,-0.710,-0.427
34,-8.400,-0.400
35,-0.737,-0.041
36,-9.254,-0.207
37,-0.600,0.289
38,-9.254,2.053
39,-0.434,0.675
40,-9.723,2.329
41,-0.324,1.034
42,-9.668,4.066
43,-0.158,1.420
44,-6.443,7.621
45,-0.103,1.640
46,-1.647,8.889
