 ,X,Y
1,0.000,1.529
2,0.704,8.199
3,0.194,1.285
4,6.554,4.765
5,0.416,1.219
6,7.130,3.103
7,0.460,0.820
8,7.972,2.482
9,0.526,0.465
10,8.549,0.355
11,0.681,0.111
12,8.704,-2.305
13,0.637,-0.244
14,8.216,-3.546
15,0.548,-0.443
16,7.086,-4.366
17,0.526,-0.709
18,4.892,-4.676
19,0.305,-0.842
20,3.230,-5.607
21,0.105,-0.975
22,2.720,-5.163
23,0.039,-1.042
24,2.831,-2.881
25,-0.183,-1.108
26,1.745,-3.967
27,-0.338,-0.997
28,-0.139,-4.742
29,-0.427,-0.886
30,-4.548,-2.726
31,-0.493,-0.709
32,-5.302,-2.814
33,-0.582,-0.443
34,-6.676,-2.814
35,-0.737,-0.277
36,-7.097,-1.540
37,-0.670,-0.033
38,-8.050,-1.075
39,-0.604,0.277
40,-8.404,0.787
41,-0.471,0.698
42,-8.870,2.116
43,-0.338,0.964
44,-7.452,4.111
45,-0.183,1.097
46,-6.521,5.928
47,-0.183,1.274
48,-2.665,8.033
