 ,X,Y
1,0.034,1.666
2,0.108,7.900
3,0.176,1.462
4,4.188,7.446
5,0.221,1.281
6,5.049,7.560
7,0.380,0.986
8,8.540,4.953
9,0.493,0.601
10,9.061,3.706
11,0.652,0.215
12,9.469,0.805
13,0.742,-0.193
14,8.585,-2.663
15,0.742,-0.510
16,8.087,-3.547
17,0.697,-0.737
18,6.727,-4.114
19,0.584,-1.009
20,5.865,-4.431
21,0.425,-1.099
22,4.006,-4.635
23,0.198,-1.303
24,4.346,-5.157
25,-0.096,-1.235
26,-1.592,-6.188
27,-0.255,-1.088
28,-3.020,-5.485
29,-0.391,-0.929
30,-6.262,-3.468
31,-0.482,-0.657
32,-6.897,-1.836
33,-0.686,-0.499
34,-7.259,-2.584
35,-0.686,-0.249
36,-7.826,-1.337
37,-0.663,0.068
38,-9.073,0.725
39,-0.482,0.521
40,-9.549,1.587
41,-0.391,0.929
42,-8.891,4.420
43,-0.232,1.247
44,-5.400,7.004
45,-0.074,1.473
46,-1.751,7.911
