 ,X,Y
1,0.040,1.796
2,2.175,9.737
3,0.313,1.543
4,6.591,7.156
5,0.499,1.383
6,9.171,2.607
7,0.579,0.958
8,10.156,1.995
9,0.712,0.505
10,9.491,-1.782
11,0.712,0.106
12,9.092,-4.895
13,0.632,-0.346
14,8.081,-4.469
15,0.552,-0.612
16,7.123,-5.640
17,0.525,-0.904
18,5.101,-4.975
19,0.233,-0.904
20,5.341,-5.693
21,0.073,-1.064
22,4.463,-5.294
23,-0.113,-1.197
24,1.749,-5.454
25,-0.299,-1.144
26,-2.135,-4.230
27,-0.512,-1.091
28,-4.423,-3.618
29,-0.619,-0.878
30,-6.604,-3.272
31,-0.619,-0.692
32,-7.003,-3.645
33,-0.672,-0.399
34,-8.440,-1.516
35,-0.672,-0.080
36,-9.477,0.053
37,-0.539,0.319
38,-10.275,2.208
39,-0.459,0.825
40,-10.063,4.522
41,-0.273,1.144
42,-9.664,4.443
43,-0.326,1.623
44,-6.897,7.662
45,-0.086,1.782
46,-1.230,10.242
