 ,X,Y
1,-0.147,1.838
2,-0.656,8.185
3,-0.018,1.912
4,3.364,8.014
5,0.276,1.814
6,5.741,7.720
7,0.398,1.446
8,7.873,3.333
9,0.619,1.054
10,10.177,2.916
11,0.717,0.564
12,10.520,1.716
13,0.839,0.196
14,10.128,1.372
15,0.815,-0.221
16,8.853,-2.720
17,0.741,-0.527
18,7.603,-3.958
19,0.668,-0.845
20,7.040,-3.884
21,0.545,-0.968
22,5.006,-4.571
23,0.398,-1.140
24,4.442,-5.134
25,0.178,-1.287
26,3.658,-4.914
27,-0.043,-1.262
28,2.726,-4.129
29,-0.312,-1.262
30,-4.405,-1.434
31,-0.460,-1.091
32,-4.944,-1.728
33,-0.631,-0.895
34,-6.782,-1.311
35,-0.705,-0.649
36,-6.709,-0.870
37,-0.729,-0.478
38,-8.424,-0.870
39,-0.754,-0.086
40,-9.625,-0.135
41,-0.631,0.282
42,-9.282,1.483
43,-0.558,0.649
44,-10.238,2.806
45,-0.288,1.042
46,-7.738,7.340
47,-0.190,1.605
48,-4.381,8.688
