 ,X,Y
1,0.198,1.383
2,2.470,7.443
3,0.428,1.317
4,6.224,5.796
5,0.527,1.087
6,8.233,2.602
7,0.725,0.790
8,9.188,2.272
9,0.757,0.461
10,9.024,0.329
11,0.823,0.033
12,8.694,-0.626
13,0.692,-0.428
14,6.554,-3.853
15,0.494,-0.626
16,6.224,-5.039
17,0.527,-0.757
18,4.281,-5.138
19,0.395,-0.790
20,2.997,-5.763
21,0.296,-1.021
22,2.733,-5.566
23,0.066,-1.120
24,2.503,-5.500
25,-0.066,-1.054
26,1.120,-5.928
27,-0.231,-1.120
28,-4.347,-3.985
29,-0.461,-0.988
30,-5.665,-2.964
31,-0.560,-0.889
32,-6.159,-2.668
33,-0.560,-0.659
34,-6.982,-2.371
35,-0.527,-0.395
36,-8.036,-1.778
37,-0.659,-0.066
38,-8.167,-0.296
39,-0.527,0.231
40,-8.925,0.033
41,-0.296,0.593
42,-9.254,2.799
43,-0.165,0.889
44,-8.464,4.512
45,-0.066,1.120
46,-3.063,8.003
47,0.099,1.251
48,-1.581,7.509
