 ,X,Y
1,0.097,0.993
2,1.646,4.132
3,0.258,0.791
4,2.760,3.906
5,0.355,0.662
6,3.696,3.099
7,0.468,0.468
8,4.939,1.630
9,0.533,0.291
10,5.730,0.226
11,0.516,0.065
12,6.230,-0.404
13,0.533,-0.145
14,5.536,-0.823
15,0.500,-0.371
16,5.278,-2.018
17,0.371,-0.500
18,5.084,-2.437
19,0.258,-0.662
20,4.100,-1.856
21,0.145,-0.823
22,2.970,-3.470
23,-0.032,-1.001
24,0.629,-4.552
25,-0.226,-1.033
26,-1.420,-4.164
27,-0.404,-0.807
28,-3.018,-2.631
29,-0.468,-0.581
30,-4.164,-2.599
31,-0.565,-0.420
32,-5.213,-1.420
33,-0.581,-0.291
34,-5.472,-0.694
35,-0.565,-0.032
36,-5.778,0.549
37,-0.533,0.129
38,-5.617,1.485
39,-0.516,0.339
40,-5.504,2.066
41,-0.452,0.500
42,-4.632,2.728
43,-0.371,0.629
44,-3.357,3.390
45,-0.242,0.823
46,-3.519,3.632
47,-0.178,1.033
48,-1.646,4.213
49,-0.097,1.194
50,-0.775,4.067
