 ,X,Y
1,-0.026,1.250
2,1.033,3.920
3,0.217,1.199
4,1.798,4.107
5,0.234,0.978
6,2.683,2.916
7,0.370,0.689
8,3.278,3.307
9,0.387,0.553
10,4.876,1.675
11,0.523,0.366
12,5.573,1.097
13,0.506,0.145
14,5.896,0.009
15,0.523,-0.043
16,5.981,-0.264
17,0.506,-0.247
18,5.522,-1.675
19,0.370,-0.349
20,5.114,-2.083
21,0.319,-0.570
22,3.941,-2.627
23,0.183,-0.706
24,3.261,-3.103
25,0.132,-0.893
26,2.751,-2.661
27,-0.208,-0.842
28,-2.045,-3.716
29,-0.327,-0.774
30,-2.300,-3.477
31,-0.429,-0.621
32,-3.235,-3.358
33,-0.514,-0.502
34,-4.357,-1.437
35,-0.582,-0.332
36,-5.599,-0.808
37,-0.650,-0.077
38,-5.803,-0.536
39,-0.616,0.060
40,-6.126,0.332
41,-0.582,0.247
42,-6.024,2.100
43,-0.514,0.400
44,-5.463,2.491
45,-0.463,0.536
46,-3.541,3.563
47,-0.395,0.706
48,-1.620,4.396
49,-0.123,1.080
50,-0.395,4.430
