 ,X,Y
1,0.187,0.937
2,3.160,5.685
3,0.349,0.875
4,5.638,2.603
5,0.453,0.687
6,5.617,1.874
7,0.453,0.416
8,6.013,1.874
9,0.515,0.292
10,6.221,0.729
11,0.495,0.083
12,6.096,0.312
13,0.411,-0.042
14,5.909,-0.354
15,0.453,-0.187
16,5.659,-1.458
17,0.495,-0.333
18,5.263,-1.874
19,0.474,-0.583
20,3.805,-3.623
21,0.245,-0.770
22,1.182,-4.769
23,-0.109,-0.750
24,-1.546,-3.186
25,-0.297,-0.708
26,-3.753,-1.874
27,-0.422,-0.604
28,-4.524,-1.583
29,-0.505,-0.500
30,-5.149,-1.458
31,-0.651,-0.292
32,-5.940,-0.791
33,-0.692,-0.062
34,-5.565,-0.292
35,-0.672,0.271
36,-6.002,-0.146
37,-0.567,0.437
38,-6.335,0.916
39,-0.484,0.625
40,-5.981,1.062
41,-0.463,0.812
42,-5.128,3.103
43,-0.318,0.979
44,-4.919,3.061
45,-0.193,1.104
46,-4.378,3.498
47,0.057,1.270
48,-1.629,5.560
