 ,X,Y
1,-0.091,0.815
2,-0.367,5.171
3,0.035,1.268
4,2.631,4.808
5,0.116,1.026
6,3.516,4.366
7,0.317,0.865
8,4.300,3.823
9,0.337,0.604
10,6.574,2.133
11,0.417,0.382
12,6.755,1.650
13,0.458,0.221
14,6.574,1.288
15,0.458,0.020
16,6.735,0.181
17,0.518,-0.241
18,6.433,-1.630
19,0.458,-0.483
20,6.131,-2.354
21,0.377,-0.644
22,5.568,-2.797
23,0.196,-0.765
24,-0.045,-5.513
25,-0.166,-0.885
26,-1.836,-5.191
27,-0.327,-0.805
28,-2.580,-4.607
29,-0.588,-0.583
30,-5.316,-2.374
31,-0.709,-0.423
32,-5.759,-1.187
33,-0.689,-0.161
34,-6.685,-0.925
35,-0.689,0.101
36,-6.986,-0.322
37,-0.649,0.241
38,-7.188,-0.080
39,-0.709,0.443
40,-5.900,1.931
41,-0.588,0.664
42,-4.813,3.078
43,-0.428,0.825
44,-3.506,3.883
45,-0.347,1.026
46,-2.339,4.849
