 ,X,Y
1,-0.311,1.369
2,-0.861,5.061
3,-0.114,1.369
4,2.334,4.252
5,0.114,1.182
6,3.288,3.464
7,0.322,0.996
8,4.947,2.634
9,0.384,0.809
10,6.876,1.348
11,0.529,0.456
12,6.337,2.427
13,0.550,0.270
14,7.478,0.747
15,0.570,0.083
16,7.478,-0.705
17,0.716,-0.124
18,7.146,-0.892
19,0.653,-0.373
20,6.627,-1.576
21,0.612,-0.560
22,6.358,-1.410
23,0.467,-0.747
24,4.802,-2.904
25,0.342,-0.892
26,3.931,-2.240
27,0.176,-1.079
28,-0.902,-4.418
29,-0.114,-0.954
30,-2.416,-4.273
31,-0.280,-0.850
32,-4.366,-3.153
33,-0.467,-0.747
34,-5.445,-2.531
35,-0.529,-0.519
36,-6.461,-1.639
37,-0.591,-0.311
38,-6.897,-1.452
39,-0.612,-0.124
40,-6.627,-0.954
41,-0.612,0.124
42,-7.436,-1.182
43,-0.674,0.311
44,-7.975,-0.041
45,-0.674,0.560
46,-6.814,1.556
47,-0.653,0.788
48,-6.254,2.676
49,-0.404,1.037
50,-4.263,4.294
51,-0.280,1.286
52,-3.620,3.028
