 ,X,Y
1,0.168,1.701
2,2.497,4.267
3,0.354,1.357
4,3.370,4.823
5,0.433,1.013
6,5.539,3.341
7,0.565,0.616
8,6.253,2.521
9,0.512,0.299
10,8.052,0.775
11,0.565,-0.125
12,7.999,-0.892
13,0.645,-0.468
14,7.206,-1.341
15,0.539,-0.680
16,5.698,-2.664
17,0.380,-0.918
18,4.825,-2.558
19,0.354,-1.183
20,4.110,-2.267
21,0.036,-1.183
22,-1.604,-4.939
23,-0.175,-1.024
24,-4.091,-3.352
25,-0.308,-0.839
26,-5.599,-2.241
27,-0.519,-0.601
28,-6.683,-1.130
29,-0.652,-0.257
30,-7.874,-0.865
31,-0.546,0.167
32,-8.482,0.378
33,-0.652,0.405
34,-8.403,1.939
35,-0.493,0.854
36,-6.869,2.098
37,-0.308,1.278
38,-5.017,3.368
39,-0.255,1.569
40,-3.562,4.161
41,-0.070,1.780
42,-0.678,4.955
