 ,X,Y
1,0.002,1.393
2,0.769,5.899
3,0.114,0.926
4,3.181,4.684
5,0.170,0.701
6,4.920,2.664
7,0.264,0.477
8,5.256,2.347
9,0.301,0.178
10,5.798,0.103
11,0.301,-0.084
12,5.387,-0.981
13,0.357,-0.290
14,5.069,-2.047
15,0.413,-0.551
16,4.527,-3.169
17,0.357,-0.757
18,3.611,-4.029
19,0.170,-0.795
20,3.143,-4.291
21,-0.017,-0.907
22,-1.195,-4.964
23,-0.166,-0.888
24,-3.812,-3.319
25,-0.222,-0.701
26,-4.130,-3.356
27,-0.353,-0.477
28,-5.065,-2.496
29,-0.409,-0.271
30,-5.962,-1.281
31,-0.447,-0.028
32,-6.205,0.608
33,-0.334,0.253
34,-5.794,2.141
35,-0.297,0.514
36,-5.177,2.964
37,-0.204,0.851
38,-3.831,4.104
39,-0.091,1.075
40,-2.223,4.441
