 ,X,Y
1,0.216,0.834
2,0.962,6.144
3,0.262,0.834
4,2.280,5.856
5,0.407,0.710
6,4.750,4.271
7,0.612,0.484
8,6.170,3.386
9,0.571,0.216
10,7.055,1.554
11,0.468,-0.031
12,7.117,0.072
13,0.509,-0.340
14,6.479,-0.710
15,0.633,-0.566
16,5.655,-2.110
17,0.592,-0.875
18,4.626,-3.077
19,0.324,-1.060
20,2.115,-5.239
21,0.098,-1.101
22,0.242,-5.424
23,-0.170,-1.060
24,-2.455,-5.074
25,-0.314,-0.895
26,-4.636,-4.106
27,-0.479,-0.669
28,-5.666,-3.612
29,-0.540,-0.443
30,-7.004,-1.039
31,-0.458,-0.175
32,-7.806,-0.607
33,-0.437,0.154
34,-7.724,1.760
35,-0.355,0.422
36,-7.230,2.501
37,-0.190,0.731
38,-5.604,4.230
39,0.036,0.916
40,-2.146,5.074
