 ,X,Y
1,0.342,0.655
2,4.469,3.786
3,0.484,0.427
4,5.404,1.803
5,0.489,0.095
6,5.385,0.930
7,0.451,-0.114
8,5.252,-1.784
9,0.299,-0.304
10,5.252,-1.860
11,0.280,-0.474
12,4.095,-3.435
13,0.185,-0.626
14,2.443,-4.365
15,0.014,-0.740
16,0.451,-5.295
17,-0.251,-0.645
18,-3.421,-3.150
19,-0.365,-0.512
20,-4.218,-3.226
21,-0.384,-0.342
22,-5.376,-1.518
23,-0.346,-0.057
24,-5.072,-0.019
25,-0.308,0.133
26,-5.186,1.461
27,-0.365,0.436
28,-4.920,2.562
29,-0.214,0.664
30,-3.098,4.536
31,-0.043,0.873
32,-0.555,5.352
33,0.052,0.949
34,1.077,5.485
35,0.318,1.063
36,2.557,4.991
