 ,X,Y
1,0.033,1.397
2,0.371,6.142
3,0.194,1.397
4,2.234,6.231
5,0.371,1.264
6,4.407,5.721
7,0.504,0.998
8,5.427,5.787
9,0.726,0.798
10,6.646,4.124
11,0.726,0.421
12,7.511,3.503
13,0.660,0.133
14,7.799,1.086
15,0.771,-0.089
16,7.755,-1.109
17,0.571,-0.244
18,7.467,-2.239
19,0.504,-0.488
20,6.469,-3.392
21,0.371,-0.687
22,4.584,-4.523
23,0.194,-0.887
24,3.564,-4.412
25,0.039,-1.020
26,3.320,-4.656
27,-0.205,-0.887
28,-5.948,-1.907
29,-0.582,-0.754
30,-5.793,-3.215
31,-0.693,-0.488
32,-6.879,-2.284
33,-0.737,-0.200
34,-7.655,-1.486
35,-0.737,0.044
36,-8.054,-0.665
37,-0.737,0.222
38,-8.320,1.020
39,-0.782,0.532
40,-7.966,2.550
41,-0.693,0.776
42,-6.547,5.322
43,-0.604,0.976
44,-4.462,6.208
45,-0.427,1.264
46,-3.420,6.186
47,-0.205,1.463
48,-2.445,5.743
