 ,X,Y
1,-0.176,1.117
2,0.034,5.556
3,0.093,1.245
4,1.877,5.184
5,0.269,1.127
6,3.151,5.145
7,0.426,1.029
8,4.915,5.027
9,0.524,0.715
10,5.424,4.224
11,0.544,0.539
12,5.777,4.067
13,0.622,0.304
14,6.580,1.970
15,0.583,0.069
16,6.972,0.186
17,0.681,-0.127
18,6.600,-0.853
19,0.603,-0.343
20,5.953,-0.853
21,0.485,-0.559
22,5.091,-2.852
23,0.465,-0.794
24,3.719,-3.812
25,0.132,-0.833
26,3.856,-4.302
27,-0.103,-0.774
28,-4.082,-2.773
29,-0.377,-0.559
30,-4.454,-2.989
31,-0.573,-0.441
32,-5.689,-2.597
33,-0.808,-0.304
34,-6.629,-0.833
35,-0.710,-0.049
36,-6.767,-0.323
37,-0.769,0.245
38,-7.315,0.010
39,-0.671,0.461
40,-7.061,1.637
41,-0.632,0.617
42,-6.100,3.890
43,-0.495,0.813
44,-5.806,4.361
45,-0.299,1.009
46,-3.925,5.341
47,-0.201,1.225
48,-2.239,5.321
