 ,X,Y
1,0.184,1.167
2,2.547,6.060
3,0.415,0.860
4,5.615,3.798
5,0.519,0.600
6,7.253,1.770
7,0.597,0.184
8,8.709,0.652
9,0.467,-0.180
10,8.527,-0.596
11,0.545,-0.492
12,7.357,-1.636
13,0.311,-0.726
14,6.213,-1.532
15,0.207,-0.908
16,4.601,-2.885
17,0.025,-1.012
18,3.353,-2.963
19,-0.183,-1.064
20,-2.705,-3.873
21,-0.313,-0.856
22,-4.474,-2.365
23,-0.443,-0.700
24,-6.606,-1.116
25,-0.521,-0.440
26,-7.256,-1.142
27,-0.573,-0.154
28,-8.738,0.938
29,-0.495,0.106
30,-8.192,1.406
31,-0.443,0.522
32,-7.568,3.538
33,-0.417,0.808
34,-6.580,2.914
35,-0.053,1.094
36,-5.592,3.538
37,-0.027,1.302
38,-0.729,5.852
