 ,X,Y
1,0.253,1.174
2,1.152,5.854
3,0.464,0.936
4,6.334,2.761
5,0.491,0.592
6,7.286,2.787
7,0.596,0.169
8,8.979,0.487
9,0.464,-0.148
10,9.084,-1.734
11,0.464,-0.545
12,8.159,-1.761
13,0.200,-0.730
14,5.858,-2.633
15,0.120,-0.968
16,4.166,-3.480
17,-0.118,-1.073
18,2.659,-3.929
19,-0.382,-1.100
20,-3.793,-3.083
21,-0.488,-0.915
22,-5.697,-1.417
23,-0.567,-0.597
24,-6.199,-2.025
25,-0.514,-0.333
26,-8.473,-0.095
27,-0.514,-0.042
28,-9.055,0.222
29,-0.593,0.407
30,-7.548,2.073
31,-0.435,0.645
32,-8.870,2.761
33,-0.329,1.016
34,-5.565,3.448
35,0.015,1.174
36,-1.863,6.304
