 ,X,Y
1,0.131,1.045
2,0.691,4.595
3,0.256,0.893
4,3.457,4.813
5,0.256,0.784
6,5.156,4.116
7,0.387,0.632
8,6.354,2.831
9,0.430,0.348
10,6.354,2.352
11,0.561,0.087
12,5.396,2.309
13,0.583,-0.152
14,6.746,-0.152
15,0.517,-0.414
16,6.550,-1.590
17,0.299,-0.610
18,4.220,-3.245
19,0.038,-0.697
20,2.804,-3.419
21,-0.180,-0.719
22,-1.857,-4.661
23,-0.332,-0.588
24,-4.035,-2.330
25,-0.506,-0.523
26,-5.036,-2.417
27,-0.506,-0.218
28,-4.928,-2.352
29,-0.441,-0.065
30,-6.931,1.241
31,-0.397,0.196
32,-7.149,1.938
33,-0.289,0.414
34,-6.278,2.809
35,-0.158,0.653
36,-5.668,3.550
37,-0.071,0.871
38,-5.559,3.637
39,-0.027,0.980
40,-3.207,5.793
