 ,X,Y
1,0.182,0.798
2,1.173,5.447
3,0.384,0.798
4,4.710,2.698
5,0.506,0.595
6,4.993,1.364
7,0.688,0.312
8,5.620,1.121
9,0.789,0.050
10,7.116,-0.395
11,0.748,-0.254
12,6.085,-1.749
13,0.566,-0.597
14,4.488,-3.326
15,0.162,-0.759
16,-0.202,-3.528
17,-0.020,-0.739
18,-0.889,-2.295
19,-0.283,-0.739
20,-2.102,-1.749
21,-0.505,-0.537
22,-3.982,-0.213
23,-0.626,-0.314
24,-4.669,-0.395
25,-0.626,0.050
26,-6.266,1.343
27,-0.748,0.333
28,-5.902,2.172
29,-0.586,0.616
30,-3.780,3.344
31,-0.323,0.838
32,-2.061,4.335
33,-0.080,1.101
34,-0.101,5.265
