 ,X,Y
1,0.368,1.399
2,2.098,4.031
3,0.350,0.975
4,3.295,3.239
5,0.423,0.699
6,3.828,2.724
7,0.405,0.460
8,4.730,2.153
9,0.460,0.147
10,5.356,1.252
11,0.552,-0.074
12,5.411,-1.104
13,0.442,-0.294
14,5.117,-1.933
15,0.442,-0.589
16,3.755,-3.552
17,0.258,-0.736
18,2.264,-4.178
19,0.092,-0.883
20,0.718,-4.491
21,-0.074,-0.810
22,-1.491,-3.626
23,-0.350,-0.663
24,-4.233,-2.080
25,-0.423,-0.405
26,-4.252,-1.086
27,-0.423,-0.239
28,-4.841,-0.276
29,-0.571,0.018
30,-5.485,0.994
31,-0.534,0.239
32,-4.565,2.282
33,-0.515,0.552
34,-4.601,2.429
35,-0.350,0.791
36,-3.847,2.871
37,-0.258,1.012
38,-2.982,3.571
39,-0.166,1.344
40,-1.693,3.847
41,0.000,1.454
42,0.387,4.252
