 ,X,Y
1,0.090,1.164
2,1.249,4.677
3,0.258,0.962
4,1.485,4.677
5,0.409,0.693
6,3.670,2.105
7,0.493,0.525
8,3.855,1.887
9,0.560,0.290
10,4.645,1.214
11,0.661,0.071
12,5.318,0.424
13,0.728,-0.130
14,5.183,-0.920
15,0.627,-0.298
16,4.376,-2.148
17,0.527,-0.450
18,4.141,-2.484
19,0.392,-0.618
20,3.065,-3.190
21,0.174,-0.685
22,1.720,-3.375
23,0.073,-0.836
24,1.569,-3.375
25,-0.163,-0.887
26,-0.549,-3.913
27,-0.549,-0.719
28,-3.861,-1.274
29,-0.667,-0.584
30,-4.382,-1.105
31,-0.701,-0.366
32,-4.718,-0.601
33,-0.785,-0.147
34,-4.853,-0.265
35,-0.751,0.122
36,-4.903,0.895
37,-0.734,0.307
38,-4.802,1.652
39,-0.633,0.508
40,-3.861,2.946
41,-0.465,0.761
42,-3.239,3.518
43,-0.398,0.945
44,-2.751,3.921
45,-0.280,1.130
46,-2.180,4.291
47,-0.146,1.231
48,-0.617,4.762
49,0.005,1.282
50,0.005,4.963
