 ,X,Y
1,-0.009,0.573
2,0.002,2.978
3,0.091,0.573
4,2.262,2.199
5,0.203,0.540
6,1.995,2.455
7,0.292,0.529
8,2.251,2.065
9,0.314,0.440
10,2.763,1.375
11,0.325,0.250
12,2.608,1.030
13,0.347,0.094
14,2.775,-0.162
15,0.392,-0.073
16,2.763,-0.774
17,0.392,-0.195
18,3.175,-0.729
19,0.448,-0.351
20,2.942,-1.887
21,0.403,-0.462
22,2.953,-2.255
23,0.270,-0.574
24,2.285,-2.511
25,0.203,-0.674
26,1.717,-2.644
27,0.114,-0.718
28,1.628,-2.644
29,0.013,-0.741
30,1.305,-2.678
31,-0.076,-0.718
32,0.214,-3.156
33,-0.153,-0.618
34,-0.510,-2.967
35,-0.254,-0.529
36,-1.022,-2.733
37,-0.365,-0.529
38,-1.790,-2.466
39,-0.521,-0.395
40,-2.959,-1.052
41,-0.599,-0.284
42,-3.171,-1.164
43,-0.588,-0.128
44,-3.171,-0.729
45,-0.621,-0.006
46,-3.293,-0.562
47,-0.521,0.139
48,-2.837,0.762
49,-0.454,0.317
50,-2.792,1.119
51,-0.410,0.506
52,-2.291,1.742
53,-0.387,0.673
54,-2.180,2.087
55,-0.209,0.852
56,-1.144,2.978
