 ,X,Y
1,0.235,0.763
2,0.881,5.383
3,0.352,0.587
4,3.406,4.561
5,0.509,0.411
6,4.913,3.425
7,0.372,0.157
8,6.440,0.705
9,0.411,0.039
10,5.363,3.014
11,0.431,-0.059
12,6.048,-0.528
13,0.431,-0.196
14,5.520,-1.507
15,0.489,-0.431
16,3.954,-2.760
17,0.294,-0.587
18,4.013,-2.036
19,0.215,-0.685
20,-0.117,-4.130
21,-0.059,-0.724
22,-0.215,-3.934
23,-0.215,-0.724
24,-2.662,-3.347
25,-0.274,-0.548
26,-3.778,-2.877
27,-0.411,-0.391
28,-5.324,-1.331
29,-0.411,-0.215
30,-4.952,-3.034
31,-0.391,0.000
32,-6.127,0.470
33,-0.333,0.235
34,-5.422,2.427
35,-0.470,0.411
36,-4.091,4.267
37,-0.333,0.568
38,-3.230,4.443
39,-0.215,0.705
40,-2.016,4.776
41,0.117,0.959
42,-0.705,4.345
