 ,X,Y
1,-0.409,2.044
2,1.338,8.994
3,-0.223,1.487
4,3.419,8.659
5,0.149,1.301
6,7.210,6.652
7,0.446,1.078
8,8.622,6.021
9,0.483,0.669
10,10.666,1.226
11,0.780,0.111
12,10.778,-0.818
13,0.780,-0.260
14,9.626,-1.821
15,0.483,-0.669
16,8.028,-2.453
17,0.334,-0.855
18,6.690,-3.010
19,0.149,-1.078
20,4.497,-4.683
21,-0.149,-1.226
22,4.162,-4.348
23,-0.446,-1.189
24,-3.754,-5.909
25,-0.632,-0.855
26,-6.207,-5.984
27,-0.743,-0.632
28,-8.994,-4.423
29,-0.966,-0.483
30,-10.592,-2.453
31,-0.929,-0.111
32,-11.410,-0.743
33,-0.966,0.297
34,-11.038,0.483
35,-0.780,0.780
36,-10.518,2.862
37,-0.595,1.226
38,-8.399,5.835
39,-0.520,1.449
40,-4.831,8.548
