 ,X,Y
1,-0.228,1.961
2,-1.322,11.673
3,0.182,1.961
4,5.472,9.894
5,0.547,1.733
6,10.761,6.475
7,0.638,1.185
8,12.767,1.824
9,0.912,0.866
10,12.949,0.821
11,1.003,0.319
12,13.086,-0.638
13,0.866,-0.182
14,12.220,-2.781
15,0.730,-0.593
16,10.806,-4.286
17,0.502,-0.775
18,7.979,-6.748
19,0.228,-1.368
20,3.739,-8.526
21,-0.182,-1.505
22,3.146,-8.344
23,-0.547,-1.185
24,-8.344,-3.830
25,-0.775,-0.866
26,-10.031,-4.788
27,-1.003,-0.502
28,-12.721,-2.918
29,-1.140,-0.046
30,-12.949,-1.869
31,-0.958,0.456
32,-13.177,-0.046
33,-0.821,1.003
34,-11.855,0.137
35,-0.730,1.459
36,-11.125,5.517
37,-0.410,1.778
38,-10.396,5.608
