 ,X,Y
1,0.170,1.564
2,3.462,6.494
3,0.266,0.986
4,5.185,5.315
5,0.493,0.669
6,8.223,2.709
7,0.516,0.374
8,8.563,0.963
9,0.538,-0.034
10,8.812,-0.782
11,0.516,-0.329
12,8.268,-2.097
13,0.425,-0.465
14,5.729,-5.792
15,0.334,-0.669
16,3.032,-6.562
17,0.153,-0.759
18,0.765,-6.177
19,-0.051,-0.895
20,-1.456,-6.018
21,-0.391,-0.827
22,-2.658,-6.517
23,-0.504,-0.533
24,-5.332,-5.905
25,-0.572,-0.306
26,-6.987,-5.202
27,-0.686,-0.261
28,-8.506,-3.162
29,-0.708,0.147
30,-8.846,-0.963
31,-0.708,0.510
32,-7.690,2.346
33,-0.504,0.873
34,-6.013,3.842
35,-0.368,1.258
36,-3.519,6.381
37,-0.096,1.507
38,-1.003,6.789
