 ,X,Y
1,0.216,0.808
2,0.970,3.660
3,0.342,0.718
4,4.682,2.099
5,0.449,0.485
6,5.292,1.239
7,0.521,0.270
8,5.651,-0.017
9,0.575,0.109
10,6.225,-1.308
11,0.449,-0.053
12,5.866,-2.205
13,0.396,-0.142
14,5.417,-2.187
15,0.360,-0.340
16,4.951,-2.635
17,0.324,-0.609
18,4.180,-2.564
19,0.145,-0.716
20,3.104,-2.958
21,0.001,-0.788
22,2.530,-3.191
23,-0.196,-0.824
24,-3.640,-1.972
25,-0.250,-0.627
26,-4.752,-0.860
27,-0.340,-0.394
28,-5.290,-1.057
29,-0.429,-0.214
30,-5.577,-0.160
31,-0.411,0.055
32,-5.648,0.144
33,-0.393,0.252
34,-5.577,0.539
35,-0.340,0.378
36,-5.397,1.239
37,-0.196,0.557
38,-4.572,2.727
39,-0.106,0.718
40,-2.797,4.377
41,0.001,0.934
42,-1.559,3.911
